filename,authors,licenses,urls
"hair/parted/adult/walk.png","JaidynReiman; Joe White; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24; https://opengameart.org/content/lpc-expanded-hair"
"hat/cloth/hood/adult/walk.png","Johannes Sjölund (wulax); JaidynReiman","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"cape/solid/fg/walk.png","bluecarrot16; JaidynReiman","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-roman-armor; http://opengameart.org/content/lpc-clothing-updates"
"cape/solid/bg/walk.png","Nila122; JaidynReiman","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-roman-armor"
"feet/slippers/male/walk.png","bluecarrot16; JaidynReiman; Joe White; Luke Mehl","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/thin-mage-clothing-set; http://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-expanded-socks-shoes"
