filename,authors,licenses,urls
"hat/cloth/hood/adult/walk.png","Johannes Sjölund (wulax); JaidynReiman","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"facial/masks/plain/adult/walk/black.png","Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-masks; https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"torso/armour/leather/female/walk.png","Johannes Sjölund (wulax); bluecarrot16; JaidynReiman","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-expanded-armor"
"torso/clothes/longsleeve/longsleeve/female/walk.png","bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; http://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-revised-character-basics; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-expanded-simple-shirts"
"legs/pants/thin/walk.png","bluecarrot16; JaidynReiman; ElizaWy; Joe White; Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0; CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; http://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-expanded-pants"
"feet/boots/basic/thin/walk.png","JaidynReiman; bluecarrot16; Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair; https://opengameart.org/content/lpc-expanded-socks-shoes"
